010.000.0101.00	inhibe	 la síntesis de prostaglandinas
010.000.2404.00	inhibe	biosíntesis
010.000.2416.00	inhibe	 las síntesis del ácido micólico
010.000.2415.00	tieneGeneralidad	de
010.000.2417.00	tieneGeneralidad	de
010.000.2415.00	tieneGeneralidad	que
010.000.2417.00	tieneGeneralidad	que
010.000.2415.00	impide	 la síntesis del ácido micólico
010.000.2417.00	impide	 la síntesis del ácido micólico
010.000.2418.00	tieneGeneralidad	de
010.000.2418.00	tieneGeneralidad	que
010.000.2418.00	impide	 la síntesis del ácido micólico
010.000.2018.00	daña	la membrana celular del
010.000.2018.00	daña	 hongo por inhibición de la biosíntesis de ergosteroles
010.000.2016.00	inhibe	 la biosíntesis del ergosterol
010.000.2136.00	tieneGeneralidad	inmovilidad
010.000.2136.00	tieneGeneralidad	Muerte de los
010.000.2136.00	tieneGeneralidad	 parásitos
010.000.2333.00	tieneGeneralidad	a
010.000.2333.00	tieneGeneralidad	Activo
010.000.2333.00	tieneGeneralidad	 formaldehído
010.000.1308.00	tieneGeneralidad	los
010.000.1308.01	tieneGeneralidad	los
010.000.1310.00	tieneGeneralidad	los
010.000.1308.00	tieneGeneralidad	  ,
010.000.1308.01	tieneGeneralidad	  ,
010.000.1310.00	tieneGeneralidad	  ,
010.000.1308.00	inhibe	 la síntesis del ácido nucléico
010.000.1308.01	inhibe	 la síntesis del ácido nucléico
010.000.1310.00	inhibe	 la síntesis del ácido nucléico
010.000.4260.00	tieneGeneralidad	depende
010.000.4260.00	dependeDe	 su unión a los esteroles de la membrana celular
010.000.4260.00	dependeDe	 hongos susceptibles
010.000.2519.00	tieneGeneralidad	contra
010.000.2523.00	tieneGeneralidad	contra
010.000.2523.01	tieneGeneralidad	contra
010.000.2523.02	tieneGeneralidad	contra
010.000.2519.00	tieneGeneralidad	  , helmintos y bacterias
010.000.2523.00	tieneGeneralidad	  , helmintos y bacterias
010.000.2523.01	tieneGeneralidad	  , helmintos y bacterias
010.000.2523.02	tieneGeneralidad	  , helmintos y bacterias
010.000.2519.00	inhibe	 la síntesis de nucleósidos del adn parásito
010.000.2523.00	inhibe	 la síntesis de nucleósidos del adn parásito
010.000.2523.01	inhibe	 la síntesis de nucleósidos del adn parásito
010.000.2523.02	inhibe	 la síntesis de nucleósidos del adn parásito
010.000.1911.00	interfiereEn	 los procesos enzimáticos bacterianos
010.000.5302.00	interfiereEn	 los procesos enzimáticos bacterianos
010.000.2138.00	bloquea	 la acción
010.000.2138.00	bloquea	neuromuscular
010.000.2413.00	tieneGeneralidad	.
010.000.1346.00	tieneGeneralidad	  , debido al
010.000.2040.00	tieneGeneralidad	  , debido al
010.000.1346.00	tieneGeneralidad	del
010.000.2040.00	tieneGeneralidad	del
010.000.1346.00	tieneGeneralidad	  ,
010.000.2040.00	tieneGeneralidad	  ,
010.000.1346.00	tieneGeneralidad	de
010.000.2040.00	tieneGeneralidad	de
010.000.1314.00	tieneGeneralidad	de
010.000.1314.00	tieneGeneralidad	actuando
010.000.1314.00	tieneGeneralidad	intestinal
010.000.1314.00	tieneGeneralidad	  , no
010.000.1314.00	tiene	 acción en la amibiasis
010.000.1314.00	tiene	extraintestinal
010.000.2409.00	interfiereCon	 la rna polimerasa
010.000.2409.01	interfiereCon	 la rna polimerasa
010.000.2410.00	interfiereCon	 la rna polimerasa
010.000.2414.00	tieneGeneralidad	de
010.000.2414.00	tieneGeneralidad	para
010.000.2414.00	tieneGeneralidad	y
010.000.1981.00	tieneGeneralidad	  , con actividad
010.000.1981.00	tieneGeneralidad	bacteriostática
010.000.1981.00	actúaSobre	 la subunidad ribosomal
010.000.1903.00	interfiereCon	 la síntesis bacteriana ácido tetrahidrofólico
010.000.1904.00	interfiereCon	 la síntesis bacteriana ácido tetrahidrofólico
010.000.4272.00	tieneGeneralidad	.
010.000.4273.00	tieneGeneralidad	.
010.000.4371.00	tieneGeneralidad	como
010.000.4371.00	tieneGeneralidad	son
010.000.4371.00	tieneGeneralidad	a
010.000.4371.00	tieneGeneralidad	)
010.000.4371.00	tieneGeneralidad	.
010.000.4371.00	tieneGeneralidad	y
010.000.4371.00	tieneGeneralidad	la
010.000.4371.00	tieneGeneralidad	)
010.000.4371.00	tieneGeneralidad	e
010.000.4371.00	tieneGeneralidad	)
010.000.4368.00	tieneGeneralidad	reversa
010.000.4368.00	tieneGeneralidad	selectivos
010.000.4368.00	tieneGeneralidad	y
010.000.2126.00	inhibe	 la síntesis del dna
010.000.4263.00	inhibe	 la síntesis del dna
010.000.4264.00	inhibe	 la síntesis del dna
010.000.2126.00	inhibe	viral
010.000.4263.00	inhibe	viral
010.000.4264.00	inhibe	viral
010.000.2322.00	inhibe	 la síntesis del dna microbiano
010.000.4375.00	tieneGeneralidad	es
010.000.4375.00	tieneGeneralidad	oral del
010.000.4375.00	tieneGeneralidad	.
010.000.4375.00	tieneGeneralidad	del
010.000.4375.00	tieneGeneralidad	  ,
010.000.4375.00	inhibe	 la polimerasa del adn
010.000.4375.00	inhibe	virus de la
010.000.4375.00	inhibe	hepatitis b
010.000.4375.00	inhibe	 vhb
010.000.6122.00	actúaMediante	 la unión al componente esterol
010.000.2012.00	uneA	 esteroles en la membrana celular micótica
010.000.6132.00	actúaMediante	 la unión al componente esterol
010.000.1956.00	inhibe	 la síntesis de proteínas al unirse a la subunidad ribosomal
010.000.1956.01	inhibe	 la síntesis de proteínas al unirse a la subunidad ribosomal
010.000.1957.00	inhibe	 la síntesis de proteínas al unirse a la subunidad ribosomal
010.000.1957.01	inhibe	 la síntesis de proteínas al unirse a la subunidad ribosomal
010.000.1931.00	inhibe	síntesis
010.000.4275.00	tieneGeneralidad	del
010.000.5670.00	tieneGeneralidad	es
010.000.5670.00	tieneGeneralidad	  ,
010.000.5670.00	tieneGeneralidad	sintetizado
010.000.5670.00	tieneGeneralidad	de
010.000.5670.00	tieneGeneralidad	.
010.000.5670.00	tieneGeneralidad	es
010.000.5670.00	tieneGeneralidad	  , clase de medicamentos que inhiben la
010.000.5670.00	tieneGeneralidad	de
010.000.5670.00	tieneGeneralidad	.
010.000.5670.00	tieneGeneralidad	no
010.000.5670.00	metabolizadaEn	 el hígado
010.000.6043.00	tieneGeneralidad	es
010.000.6043.00	tieneGeneralidad	)
010.000.6043.00	tieneGeneralidad	es
010.000.6043.00	tieneGeneralidad	complejo
010.000.6043.00	tieneGeneralidad	del
010.000.6043.00	tieneGeneralidad	.
010.000.6043.00	tieneGeneralidad	del
010.000.6043.00	tieneGeneralidad	de
010.000.6043.00	tieneGeneralidad	viral
010.000.6043.00	tieneGeneralidad	Viral
010.000.4266.00	tieneGeneralidad	.
010.000.4267.00	tieneGeneralidad	.
010.000.1969.00	ejerce	 su mecanismo acción
010.000.1969.01	ejerce	 su mecanismo acción
010.000.1921.00	inhibe	síntesis
010.000.1933.00	inhibe	síntesis
010.000.5313.00	inhibe	síntesis
010.000.5314.00	inhibe	síntesis
010.000.5256.00	inhibe	síntesis
010.000.5284.00	inhibe	síntesis
010.000.5295.00	inhibe	síntesis
010.000.5295.01	inhibe	síntesis
010.000.1935.00	inhibe	síntesis
010.000.5310.00	inhibe	síntesis
010.000.5311.00	inhibe	síntesis
010.000.4254.00	inhibe	síntesis
010.000.1937.00	inhibe	síntesis
010.000.5264.00	inhibe	síntesis
010.000.5264.01	inhibe	síntesis
010.000.5264.02	inhibe	síntesis
010.000.4258.00	inhibe	 la dna girasa bacteriana
010.000.4259.00	inhibe	 la dna girasa bacteriana
010.000.1973.00	inhibe	 la síntesis de proteínas
010.000.1976.00	inhibe	 la síntesis de proteínas
010.000.1992.00	inhibe	 la síntesis de proteínas
010.000.5865.00	tieneGeneralidad	  ,
010.000.5865.00	tieneGeneralidad	  ,
010.000.5865.00	tieneGeneralidad	o
010.000.5865.00	tieneGeneralidad	  , es una forma
010.000.5865.00	tieneGeneralidad	e
010.000.5865.00	tieneGeneralidad	.
010.000.6044.00	tieneGeneralidad	es
010.000.6044.00	tieneGeneralidad	no
010.000.6044.00	tieneGeneralidad	)
010.000.6044.00	tieneGeneralidad	que
010.000.6044.00	tieneGeneralidad	esencial
010.000.6044.00	tieneGeneralidad	Complejo de
010.000.6044.00	tieneGeneralidad	 replicación de vhc
010.000.6044.00	tieneGeneralidad	inhibe
010.000.4289.00	tieneGeneralidad	del
010.000.5860.00	tieneGeneralidad	del
010.000.5861.00	tieneGeneralidad	del
010.000.5862.00	tieneGeneralidad	del
010.000.4289.00	tieneGeneralidad	.
010.000.5860.00	tieneGeneralidad	.
010.000.5861.00	tieneGeneralidad	.
010.000.5862.00	tieneGeneralidad	.
010.000.4289.00	tieneGeneralidad	-
010.000.5860.00	tieneGeneralidad	-
010.000.5861.00	tieneGeneralidad	-
010.000.5862.00	tieneGeneralidad	-
010.000.4289.00	tieneGeneralidad	infectadas
010.000.5860.00	tieneGeneralidad	infectadas
010.000.5861.00	tieneGeneralidad	infectadas
010.000.5862.00	tieneGeneralidad	infectadas
010.000.4289.00	tieneGeneralidad	.
010.000.5860.00	tieneGeneralidad	.
010.000.5861.00	tieneGeneralidad	.
010.000.5862.00	tieneGeneralidad	.
010.000.6098.00	tieneGeneralidad	es
010.000.6098.00	tieneGeneralidad	y
010.000.6098.00	tieneGeneralidad	.
010.000.6098.00	tieneGeneralidad	de
010.000.6098.00	tieneGeneralidad	-
010.000.6098.00	tieneGeneralidad	infectadas
010.000.6098.00	tieneGeneralidad	.
010.000.6098.00	tieneGeneralidad	está
010.000.6098.00	tieneGeneralidad	de
010.000.6098.00	tieneGeneralidad	.
010.000.6098.00	tieneGeneralidad	  de
010.000.6098.00	tieneGeneralidad	  ,
010.000.6098.00	mejora	 la exposición sistémica de sustratos de cyp3a
010.000.1928.00	inhibe	síntesis
010.000.5270.00	tieneGeneralidad	.
010.000.5321.00	tieneGeneralidad	.
010.000.5322.00	tieneGeneralidad	.
010.000.5323.00	tieneGeneralidad	.
010.000.6010.00	tieneGeneralidad	inhibe
010.000.6010.00	inhibe	 la integrasa del vih uniéndose
010.000.6108.00	tieneGeneralidad	inhibe
010.000.6108.00	inhibeA	 la integrasa del vih uniéndose
010.000.4370.00	tieneGeneralidad	no
010.000.5298.00	tieneGeneralidad	no
010.000.4370.00	tieneGeneralidad	.
010.000.5298.00	tieneGeneralidad	.
010.000.6126.00	tieneGeneralidad	es
010.000.6126.00	tieneGeneralidad	de
010.000.6126.00	tieneGeneralidad	.
010.000.6126.00	tieneGeneralidad	enzimas de
010.000.6126.00	tieneGeneralidad	)
010.000.6126.00	tieneGeneralidad	.
010.000.6126.00	tieneGeneralidad	se
010.000.6126.00	convierteIn	 vivo a tenofovir
010.000.4276.00	tieneGeneralidad	dentro
010.000.4276.00	tieneGeneralidad	viral
010.000.4276.00	tieneGeneralidad	Viral
010.000.6090.00	tieneGeneralidad	es
010.000.6090.00	tieneGeneralidad	no
010.000.6090.00	tieneGeneralidad	no
010.000.6090.00	tieneGeneralidad	.
010.000.6090.00	tieneGeneralidad	no
010.000.6090.00	inhibe	 la emtricitabina
010.000.4396.00	tieneGeneralidad	de
010.000.4396.00	tieneGeneralidad	  , ambos inhibidores
010.000.4396.00	tieneGeneralidad	selectivos
010.000.4396.00	tieneGeneralidad	reversa
010.000.4396.00	tieneGeneralidad	Virus de la inmunodeficiencia humana
010.000.4385.00	tieneGeneralidad	y
010.000.4386.00	tieneGeneralidad	y
010.000.4385.00	tieneGeneralidad	del
010.000.4386.00	tieneGeneralidad	del
010.000.2134.00	inhibe	 la síntesis de proteína en bacterias susceptibles
010.000.4301.00	tieneGeneralidad	se
010.000.5285.00	tieneGeneralidad	se
010.000.4301.00	uneA	 las proteínas ligadoras
010.000.5285.00	uneA	 las proteínas ligadoras
010.000.5275.00	tieneGeneralidad	no
010.000.6074.00	tieneGeneralidad	no
010.000.5275.00	tieneGeneralidad	)
010.000.6074.00	tieneGeneralidad	)
010.000.2135.00	inhibe	 la conversión de lanosterol en ergosterol
010.000.5267.00	inhibe	 la conversión de lanosterol en ergosterol
010.000.4278.00	tieneGeneralidad	es
010.000.4278.00	tieneGeneralidad	.
010.000.4278.00	tieneGeneralidad	es
010.000.4278.00	tieneGeneralidad	no
010.000.4278.00	tieneGeneralidad	viral para
010.000.4278.00	tieneGeneralidad	viral
010.000.4278.00	tieneGeneralidad	Viral
010.000.5268.00	inhibe	 la polimerasa del dna
010.000.5268.00	inhibe	viral
010.000.4280.00	tieneGeneralidad	es
010.000.4280.01	tieneGeneralidad	es
010.000.4281.00	tieneGeneralidad	es
010.000.4281.01	tieneGeneralidad	es
010.000.4280.00	tieneGeneralidad	elevadas
010.000.4280.01	tieneGeneralidad	elevadas
010.000.4281.00	tieneGeneralidad	elevadas
010.000.4281.01	tieneGeneralidad	elevadas
010.000.4280.00	tieneGeneralidad	implante
010.000.4280.01	tieneGeneralidad	implante
010.000.4281.00	tieneGeneralidad	implante
010.000.4281.01	tieneGeneralidad	implante
010.000.4280.00	tieneGeneralidad	o
010.000.4280.01	tieneGeneralidad	o
010.000.4281.00	tieneGeneralidad	o
010.000.4281.01	tieneGeneralidad	o
010.000.4280.00	tieneGeneralidad	.
010.000.4280.01	tieneGeneralidad	.
010.000.4281.00	tieneGeneralidad	.
010.000.4281.01	tieneGeneralidad	.
010.000.6127.00	tieneGeneralidad	del
010.000.6127.00	tieneGeneralidad	  , la
010.000.6127.00	tieneGeneralidad	viral y el
010.000.6127.00	tieneGeneralidad	Viral y el
010.000.6127.00	tieneGeneralidad	 ensamblaje del virión
010.000.5265.00	tieneGeneralidad	inhibe
010.000.5265.01	tieneGeneralidad	inhibe
010.000.5287.00	tieneGeneralidad	inhibe
010.000.5287.01	tieneGeneralidad	inhibe
010.000.5265.00	inhibe	síntesis
010.000.5265.01	inhibe	síntesis
010.000.5287.00	inhibe	síntesis
010.000.5287.01	inhibe	síntesis
010.000.5279.00	tieneGeneralidad	y
010.000.1951.00	inhibe	 la síntesis proteica de las bacterias
010.000.5282.00	tieneGeneralidad	que
010.000.5282.01	tieneGeneralidad	que
010.000.4271.00	tieneGeneralidad	que
010.000.5282.00	tieneGeneralidad	intracelularmente
010.000.5282.01	tieneGeneralidad	intracelularmente
010.000.4271.00	tieneGeneralidad	intracelularmente
010.000.5282.00	tieneGeneralidad	 
010.000.5282.01	tieneGeneralidad	 
010.000.4271.00	tieneGeneralidad	 
010.000.5282.00	tieneGeneralidad	y
010.000.5282.01	tieneGeneralidad	y
010.000.4271.00	tieneGeneralidad	y
010.000.5282.00	tieneGeneralidad	-
010.000.5282.01	tieneGeneralidad	-
010.000.4271.00	tieneGeneralidad	-
010.000.5282.00	inhibe	 la transcripción reversa del vih terminación
010.000.5282.01	inhibe	 la transcripción reversa del vih terminación
010.000.4271.00	inhibe	 la transcripción reversa del vih terminación
010.000.4268.00	tieneGeneralidad	que
010.000.4268.00	tieneGeneralidad	  , esencial para la
010.000.4268.00	tieneGeneralidad	  , en
010.000.4268.00	tieneGeneralidad	tiene
010.000.4268.00	tiene	 una acción sinérgica
010.000.4249.00	inhibe	 la dna girasa bacteriana
010.000.4300.00	inhibe	 la dna girasa bacteriana
010.000.4290.00	tieneGeneralidad	y
010.000.4291.00	tieneGeneralidad	y
010.000.4290.00	actúaSobre	 la subunidad
010.000.4291.00	actúaSobre	 la subunidad
010.000.5276.00	tieneGeneralidad	del
010.000.5276.00	tieneGeneralidad	y
010.000.5324.00	tieneGeneralidad	se
010.000.5325.00	tieneGeneralidad	se
010.000.5291.00	inhibe	síntesis
010.000.5291.01	inhibe	síntesis
010.000.5292.00	inhibe	síntesis
010.000.5292.01	inhibe	síntesis
010.000.1309.00	inhibe	 la síntesis de los ácidos nucléicos
010.000.1311.00	inhibe	 la síntesis de los ácidos nucléicos
010.000.4139.00	inhibe	 la síntesis de proteínas de la bacterias
010.000.4139.01	inhibe	 la síntesis de proteínas de la bacterias
010.000.4252.00	inhibe	 la dna girasa bacteriana
010.000.4253.00	inhibe	 la dna girasa bacteriana
010.000.4176.00	inhibe	 la síntesis de proteínas por unión directa con la subunidad
010.000.5259.00	tieneGeneralidad	no
010.000.5296.00	tieneGeneralidad	no
010.000.5296.01	tieneGeneralidad	no
010.000.5259.00	tieneGeneralidad	.
010.000.5296.00	tieneGeneralidad	.
010.000.5296.01	tieneGeneralidad	.
010.000.4261.00	inhibe	 la dna girasa bacteriana
010.000.4261.01	inhibe	 la dna girasa bacteriana
010.000.4261.02	inhibe	 la dna girasa bacteriana
010.000.6041.00	tieneGeneralidad	  ,
010.000.6041.00	tieneGeneralidad	  ,
010.000.6041.00	tieneGeneralidad	y
010.000.6041.00	tieneGeneralidad	incluye
010.000.6041.00	incluye	 un inhibidor proteasa ns3/4a paritaprevir
010.000.4582.00	tieneGeneralidad	activo
010.000.4583.00	tieneGeneralidad	activo
010.000.4584.00	tieneGeneralidad	activo
010.000.4585.00	tieneGeneralidad	activo
010.000.4582.00	inhibe	neuraminidasas
010.000.4583.00	inhibe	neuraminidasas
010.000.4584.00	inhibe	neuraminidasas
010.000.4585.00	inhibe	neuraminidasas
010.000.2137.00	inhibe	 la síntesis de proteínas de las bacterias
010.000.5328.00	tieneGeneralidad	.
010.000.4592.00	inhibe	síntesis
010.000.5261.00	inhibe	 la hidrofolatorreductasa
010.000.5312.00	inhibe	 la fase tardía de la síntesis de proteína
010.000.5280.00	tieneGeneralidad	viral
010.000.5280.00	tieneGeneralidad	Viral
010.000.5280.00	tieneGeneralidad	la
010.000.5280.00	tieneGeneralidad	  , en
010.000.5280.00	tieneGeneralidad	que
010.000.5280.00	recibe	 tratamiento
010.000.5920.00	tieneGeneralidad	-
010.000.5920.01	tieneGeneralidad	-
010.000.2139.00	tieneGeneralidad	-
010.000.5920.00	tieneGeneralidad	codificadas
010.000.5920.01	tieneGeneralidad	codificadas
010.000.2139.00	tieneGeneralidad	codificadas
010.000.5671.00	tieneGeneralidad	no
010.000.5671.00	tieneGeneralidad	  , para
010.000.5671.00	tieneGeneralidad	gram
010.000.6136.00	tieneGeneralidad	es
010.000.6136.00	tieneGeneralidad	no
010.000.6136.00	tieneGeneralidad	.
010.000.4580.00	inhibe	 la replicación
010.000.4580.00	inhibe	viral en la
010.000.4580.00	inhibe	 fase temprana
010.000.5281.00	tieneGeneralidad	las
010.000.5281.01	tieneGeneralidad	las
010.000.5281.00	tieneGeneralidad	vuelve
010.000.5281.01	tieneGeneralidad	vuelve
010.000.2140.00	inhibe	 la síntesis de la proteína al unirse a la subunidad ribosomal
010.000.5290.00	tieneGeneralidad	selectivo
010.000.5290.00	tieneGeneralidad	del
010.000.5290.00	tieneGeneralidad	Virus de la inmunodeficiencia humana
010.000.6020.00	tieneGeneralidad	es
010.000.6020.01	tieneGeneralidad	es
010.000.6020.00	tieneGeneralidad	del
010.000.6020.01	tieneGeneralidad	del
010.000.6020.00	tieneGeneralidad	  , que es esencial para la
010.000.6020.01	tieneGeneralidad	  , que es esencial para la
010.000.6020.00	tieneGeneralidad	del
010.000.6020.01	tieneGeneralidad	del
010.000.6020.00	tieneGeneralidad	  ,
010.000.6020.01	tieneGeneralidad	  ,
010.000.6020.00	tieneGeneralidad	inhibe
010.000.6020.01	tieneGeneralidad	inhibe
010.000.6020.00	inhibe	actividad
010.000.6020.01	inhibe	actividad
010.000.6045.00	tieneGeneralidad	acción
010.000.6045.00	tieneGeneralidad	de
010.000.6045.00	tieneGeneralidad	del
010.000.6045.00	tieneGeneralidad	  , que es
010.000.6045.00	tieneGeneralidad	fundamental
010.000.6045.00	tieneGeneralidad	viral
010.000.6045.00	tieneGeneralidad	Viral
010.000.6052.00	tieneGeneralidad	es
010.000.6052.00	tieneGeneralidad	que
010.000.6052.00	actúaSobre	 la proteína ns5a
010.000.6131.00	tieneGeneralidad	es
010.000.6131.00	tieneGeneralidad	del
010.000.6131.00	tieneGeneralidad	  , que es esencial para la
010.000.6131.00	tieneGeneralidad	viral
010.000.6131.00	tieneGeneralidad	Viral
010.000.6131.00	tieneGeneralidad	es
010.000.6131.00	tieneGeneralidad	farmacológicamente
010.000.4256.00	tieneGeneralidad	.
010.000.4578.00010.000.5278.00	tieneGeneralidad	  ,
010.000.4578.00010.000.5278.00	inhibe	síntesis
010.000.4277.00	tieneGeneralidad	.
010.000.4277.00	inhibe	actividad de la
010.000.4277.00	inhibe	 transcriptasa reversa del vih-1
010.000.5890.00	tieneGeneralidad	específicamente
010.000.5890.00	tieneGeneralidad	.
010.000.5890.00	conduceA	deficiencia en el
010.000.5890.00	conduceA	 erosterol
010.000.4590.00	tieneGeneralidad	  ,
010.000.4590.00	inhibe	 la traslación de proteínas en bacterias al unirse a la subunidad ribosómica
010.000.4274.00	tieneGeneralidad	no
010.000.4274.00	tieneGeneralidad	que
010.000.4274.00	inhibe	 la replicación
010.000.4274.00	inhibe	viral
010.000.5895.00	tieneGeneralidad	contra
010.000.5895.00	tieneGeneralidad	gram
010.000.5255.00	interfiereCon	 la síntesis bacteriana ácido tetrahidrofólico
010.000.4372.00	tieneGeneralidad	del
010.000.4372.01	tieneGeneralidad	del
010.000.4372.00	tieneGeneralidad	  , y es un inhibidor
010.000.4372.01	tieneGeneralidad	  , y es un inhibidor
010.000.4372.00	tieneGeneralidad	específico
010.000.4372.01	tieneGeneralidad	específico
010.000.4372.00	tieneGeneralidad	denominados
010.000.4372.01	tieneGeneralidad	denominados
010.000.4372.00	tieneGeneralidad	Varicela
010.000.4372.01	tieneGeneralidad	Varicela
010.000.4372.00	tieneGeneralidad	-
010.000.4372.01	tieneGeneralidad	-
010.000.4372.00	tieneGeneralidad	)
010.000.4372.01	tieneGeneralidad	)
010.000.4373.00	inhibe	 la síntesis dna
010.000.4373.00	inhibe	viral
010.000.4251.00	inhibe	síntesis
010.000.5315.00	tieneGeneralidad	de
010.000.5317.00	tieneGeneralidad	de
010.000.5318.00	tieneGeneralidad	de
010.000.5315.00	tieneGeneralidad	  ,
010.000.5317.00	tieneGeneralidad	  ,
010.000.5318.00	tieneGeneralidad	  ,
010.000.5315.00	tieneGeneralidad	mediado
010.000.5317.00	tieneGeneralidad	mediado
010.000.5318.00	tieneGeneralidad	mediado
010.000.5315.00	tieneGeneralidad	del
010.000.5317.00	tieneGeneralidad	del
010.000.5318.00	tieneGeneralidad	del
010.000.5315.00	tieneGeneralidad	.
010.000.5317.00	tieneGeneralidad	.
010.000.5318.00	tieneGeneralidad	.
010.000.4374.00	tieneGeneralidad	se
010.000.4374.00	indicaPara	 el tratamiento
010.000.4374.00	indicaPara	 profilaxis de la influenza subtipos
010.000.4257.00	tieneGeneralidad	es
010.000.5274.00	tieneGeneralidad	es
010.000.5273.00	tieneGeneralidad	es
010.000.6121.00	tieneGeneralidad	es
010.000.4257.00	tieneGeneralidad	  , incluyendo al virus de la inmunodeficiencia humana
010.000.5274.00	tieneGeneralidad	  , incluyendo al virus de la inmunodeficiencia humana
010.000.5273.00	tieneGeneralidad	  , incluyendo al virus de la inmunodeficiencia humana
010.000.6121.00	tieneGeneralidad	  , incluyendo al virus de la inmunodeficiencia humana
010.000.4257.00	tieneGeneralidad	)
010.000.5274.00	tieneGeneralidad	)
010.000.5273.00	tieneGeneralidad	)
010.000.6121.00	tieneGeneralidad	)
010.000.4257.00	inhibe	 la acción de la enzima transcriptasa reversa
010.000.5274.00	inhibe	 la acción de la enzima transcriptasa reversa
010.000.5273.00	inhibe	 la acción de la enzima transcriptasa reversa
010.000.6121.00	inhibe	 la acción de la enzima transcriptasa reversa
010.000.0402.00	tieneGeneralidad	en
010.000.0408.00	tieneGeneralidad	en
010.000.2142.00	tieneGeneralidad	en
010.000.0402.00	tieneGeneralidad	.
010.000.0408.00	tieneGeneralidad	.
010.000.2142.00	tieneGeneralidad	.
010.000.0464.00	inhibe	 la desgranulación de las células cebadas sensibilizadas
010.000.0405.00	tieneGeneralidad	en
010.000.0406.00	tieneGeneralidad	en
010.000.0405.00	tieneGeneralidad	.
010.000.0406.00	tieneGeneralidad	.
010.000.0474.00	tieneGeneralidad	  ,
010.000.0474.00	reduce	 la respuesta inmune
040.000.0409.00	tieneGeneralidad	receptores de
040.000.2143.00	tieneGeneralidad	receptores de
040.000.0409.00	tieneGeneralidad	Receptores de
040.000.2143.00	tieneGeneralidad	Receptores de
040.000.0409.00	tieneGeneralidad	 h1 de las células efectoras
040.000.2143.00	tieneGeneralidad	 h1 de las células efectoras
040.000.0409.00	modera	 las respuestas mediadas por histamina
040.000.2143.00	modera	 las respuestas mediadas por histamina
010.000.2141.00	tieneGeneralidad	  ,
010.000.2141.00	reduce	 la respuesta inmune
010.000.5079.00	tieneGeneralidad	.
010.000.5079.00	tieneGeneralidad	de
010.000.5079.00	tieneGeneralidad	  , de
010.000.5079.00	tieneGeneralidad	y
010.000.3143.00	tieneGeneralidad	  ,
010.000.3143.00	tieneGeneralidad	con
010.000.3143.00	tieneGeneralidad	  ,
010.000.3143.00	tieneGeneralidad	y
010.000.3143.00	tieneGeneralidad	.
010.000.3145.00	tieneGeneralidad	  ,
010.000.3146.00 	tieneGeneralidad	  ,
010.000.3145.00	tieneGeneralidad	.
010.000.3146.00 	tieneGeneralidad	.
010.000.5646.00	reduce	 la irritación
010.000.5240.00	tieneGeneralidad	que
010.000.5240.01	tieneGeneralidad	que
010.000.5244.00	tieneGeneralidad	que
010.000.5244.01	tieneGeneralidad	que
010.000.5696.00	utilizaEn	 pacientes con inmunodeficiencia
010.000.5697.00	utilizaEn	 pacientes con inmunodeficiencia
010.000.5698.00	utilizaEn	 pacientes con inmunodeficiencia
010.000.5696.00	utilizaEn	primaria o
010.000.5697.00	utilizaEn	primaria o
010.000.5698.00	utilizaEn	primaria o
010.000.5696.00	utilizaEn	secundaria
010.000.5697.00	utilizaEn	secundaria
010.000.5698.00	utilizaEn	secundaria
010.000.5641.00	proporciona	inmunidad
010.000.5642.00	proporciona	inmunidad
010.000.6025.00	proporciona	inmunidad
010.000.6026.00	proporciona	inmunidad
010.000.6027.00	proporciona	inmunidad
010.000.0463.00	inhibe	 la liberación de histamina
010.000.3150.00	tieneGeneralidad	.
010.000.3150.00	tieneGeneralidad	y
010.000.4141.00	tieneGeneralidad	que
010.000.4141.00	inhibe	respuesta
010.000.1273.00	estimula	 la actividad
010.000.1273.00	estimula	intestinal
010.000.1273.00	estimula	 motora por acción directa músculo liso estimulación
010.000.0154.00	impide	absorción
010.000.1221.00	neutraliza	 el ácido
010.000.1222.00	neutraliza	 el ácido
010.000.1223.00	neutraliza	 el ácido
010.000.1224.00	neutraliza	 el ácido
010.000.1263.00	tiene	 actividad higroscópica ligera
010.000.0113.00	tieneGeneralidad	actúa
010.000.2146.00	tieneGeneralidad	actúa
010.000.2247.00	tieneGeneralidad	en
010.000.2248.00	tieneGeneralidad	en
010.000.2249.00	tieneGeneralidad	en
010.000.2247.00	tieneGeneralidad	gastrointestinal
010.000.2248.00	tieneGeneralidad	gastrointestinal
010.000.2249.00	tieneGeneralidad	gastrointestinal
010.000.2247.00	tieneGeneralidad	.
010.000.2248.00	tieneGeneralidad	.
010.000.2249.00	tieneGeneralidad	.
010.000.2247.00	tieneGeneralidad	síntomas
010.000.2248.00	tieneGeneralidad	síntomas
010.000.2249.00	tieneGeneralidad	síntomas
010.000.2247.00	tieneGeneralidad	clínicos
010.000.2248.00	tieneGeneralidad	clínicos
010.000.2249.00	tieneGeneralidad	clínicos
010.000.2247.00	tieneGeneralidad	y
010.000.2248.00	tieneGeneralidad	y
010.000.2249.00	tieneGeneralidad	y
010.000.2247.00	tieneGeneralidad	intestinal la
010.000.2248.00	tieneGeneralidad	intestinal la
010.000.2249.00	tieneGeneralidad	intestinal la
010.000.2247.00	tieneGeneralidad	  , la
010.000.2248.00	tieneGeneralidad	  , la
010.000.2249.00	tieneGeneralidad	  , la
